"","condition","participant_id","wave","surveyed_after_yoga_session","sex","age","z_self_centrality","z_better_than_average","z_exp_better_than_average","z_communal_narcissism","z_self_esteem","z_g_factor","z_g_factor_well_being","z_grouped_self_centrality","z_grouped_g_factor","z_grouped_g_factor_well_being","z_grouped_communal_narcissism","z_grouped_self_esteem","z_grouped_better_than_average"
"185",0,"63",9,0,1,"24",-2.75209274897727,-1.13878520736691,-1.33606463042869,-1.21931696919003,-0.974681539014762,-1.36925510867057,-1.29470496298319,NA,NA,NA,NA,NA,NA
"186",1,"115",9,1,1,"68",-0.994934426625821,-0.43962629948842,1.0670856809372,-0.694794679773152,-0.534364878845813,-0.716949145278787,-0.53449443332383,-0.470667407772711,0.197797196235492,-0.183403705656824,0.499935307100462,0.110079165042237,-0.297142535848356
"187",0,"2",3,0,1,"23",-1.05769008099552,0.381885417268801,1.26406521465572,0.731250294578986,-0.314206548761338,0.16590926545061,0.515226340630255,-0.38176356408231,-0.0433468998513432,-0.0166322331416502,0.553207102119364,-0.343997390756992,-0.131092295227216
"188",1,"2",4,1,1,"23",-0.0745181625369647,0.801380761995892,1.53983656186164,0.780424259211819,0.401308024013205,0.752566958739327,0.920039518628498,0.601408354376241,0.543310793437374,0.388180944856593,0.602381066752196,0.371517182017551,0.288403049499875
"189",1,"64",4,1,1,"19",-0.116355265450095,0.032305963329558,1.0670856809372,-0.547272785874655,-0.314206548761338,-0.407177476678718,-0.0612625456461624,-0.0906470563117813,0.0602107670241688,-0.44577909154578,-0.289580013948902,0.40362360515487,-0.413669020494771
"190",0,"46",5,0,1,"71",0.804060998638762,NA,NA,NA,-1.02972112153588,-0.926421166463754,NA,-0.076701355340738,-1.06243107791173,NA,NA,-1.17417776045053,NA
"191",1,"31",6,1,1,"23",-0.220948022732919,-1.69811233366969,1.1064815876809,-0.399750891976158,0.0710705288864927,-0.490612842266816,-1.66341206765627,-0.251022617478779,0.363799338177767,-0.576890027026546,-0.16186430024974,0.846233581262199,-0.578990970586871
"192",0,"13",8,0,1,"21",0.0509931462024248,1.08104432514729,0.357959359550544,1.3049465486287,0.291228858970967,0.946122862034348,1.28493930358543,0.491585959229276,0.443794309759773,0.979247864363142,0.315532939727341,0.151358851933076,0.97445272785564
"193",1,"107",9,1,1,"56",0.511201278246853,1.22087610672298,1.65802428209275,1.07546804700881,1.5571392569567,1.72458956628979,1.37236486310579,0.76701355340738,0.350190132097319,0.302816691891151,0.316898883189364,0.256851385098554,0.256358266222112
"194",0,"116",9,0,1,"64",1.38978043942258,1.44810275178349,0.121583919088325,-0.268620319621938,-0.149087801197982,0.132089216343274,1.32675833973414,-0.094133481554542,-0.112266166828699,0.321826847147629,-0.721218147948208,0.082559373781678,0.48941123551494
"195",1,"106",11,1,1,"56",1.18059492485693,-0.334752463306647,-0.469354682067222,0.0100321466307784,-0.809562791451406,-0.60259734651508,-0.299465203241614,0.439289580587863,-0.109736645794557,0.0828318242985292,-0.0614674557910405,-0.165118747563356,0.100504093007532
"196",0,"43",3,0,1,"64",0.448445623877158,0.976170488965514,-1.06029328322277,-1.23570829073431,-0.919641956493643,-0.85705775765786,0.695152563792977,0.149044679128025,0.0647961762309099,0.334095865364745,0.407734123413902,-0.233918225714754,0.270924076802913
"197",1,"45",6,1,1,"42",-0.262785125646049,-1.10382726197298,-0.863313749504254,-0.940664502937314,0.621466354097679,-0.200749161675603,-1.20791527891507,-0.177807687380802,-0.12511342992196,-0.133352003867458,-0.434370020923353,0.082559373781678,-0.0524369180908864
"198",1,"122",11,1,1,"76",0.824979550095327,-2.55458199582084,1.61862837534905,0.337858577516328,-0.864602373972524,-1.01852320038635,-2.32796833865326,0.0418371029131298,-0.794929109171153,-1.43848923222365,-0.568232480201618,-0.385277077647831,-1.40997046422161
"199",0,"13",3,0,1,"21",-1.39238690430055,0.0847428814204445,0.003396198857216,1.46885976407147,-0.0940482186768633,0.528045882176954,0.377751062569844,-0.951794091273704,0.0257173299023787,0.0720596233475606,0.479446155170115,-0.233918225714754,-0.0218487158712027
